"submitNm","distur","siteId","plotId","fireYr","year","cntryId","lastNm","lat","lon","biome","fireId","paired","gtProde","hitRock","orgDepth","srfH2O","topoPos","slope","vegCvr","tsf","tsfClass","estDoy","estDepth","n"
"Baillargeon","burned","a","15B1-T1-24",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",47,1
"Baillargeon","burned","a","15B1-T1-24",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",156,1
"Baillargeon","burned","a","15B1-T1-25",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",76,1
"Baillargeon","burned","a","15B1-T1-25",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",139,1
"Baillargeon","burned","a","15B1-T1-26",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",66,1
"Baillargeon","burned","a","15B1-T1-26",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",148,1
"Baillargeon","burned","a","15B1-T1-27",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",63,1
"Baillargeon","burned","a","15B1-T1-27",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",125,1
"Baillargeon","burned","a","15B1-T1-28",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",60,1
"Baillargeon","burned","a","15B1-T1-28",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",79,1
"Baillargeon","burned","a","15B1-T1-29",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",54,1
"Baillargeon","burned","a","15B1-T1-29",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",66,1
"Baillargeon","burned","a","15B1-T1-3",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",79,1
"Baillargeon","burned","a","15B1-T1-3",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",89,1
"Baillargeon","burned","a","15B1-T1-30",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",74,1
"Baillargeon","burned","a","15B1-T1-30",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",66,1
