submitNm,distur,paired,fireYr,year,tsf,tsfClass,permaExtent,cntryId,lastNm,biome,slope,estDepth,n
Paulson,unburned,o4,2001,2018,u,unburned,C,RU,Paulson,boreal,NA,45.56666666666667,30
Paulson,unburned,o5,2015,2018,u,unburned,C,RU,Paulson,boreal,NA,59.7,20
Paulson,unburned,o7,2001,2018,u,unburned,C,RU,Paulson,boreal,NA,61.95,20
Paulson,unburned,o8,1990,2019,u,unburned,C,RU,Paulson,boreal,NA,44.45,20
Paulson,unburned,o9,2010,2018,u,unburned,C,RU,Paulson,boreal,NA,44.8,30
Rocha,burned,p1,2007,2008,1,0-3,C,US,Rocha,tundra,NA,54.476190476190474,672
Rocha,burned,p1,2007,2009,2,0-3,C,US,Rocha,tundra,NA,59.37233054781801,1077
Rocha,burned,p1,2007,2010,3,0-3,C,US,Rocha,tundra,NA,63.27850877192982,456
Rocha,burned,p1,2007,2011,4,4-10,C,US,Rocha,tundra,NA,53.24013157894737,912
Rocha,burned,p1,2007,2012,5,4-10,C,US,Rocha,tundra,NA,57.70634920634921,1008
Rocha,burned,p1,2007,2013,6,4-10,C,US,Rocha,tundra,NA,57.26201923076923,832
Rocha,burned,p1,2007,2014,7,4-10,C,US,Rocha,tundra,NA,51.38333333333333,1680
Rocha,burned,p1,2007,2015,8,4-10,C,US,Rocha,tundra,NA,60.589285714285715,1008
Rocha,burned,p1,2007,2016,9,4-10,C,US,Rocha,tundra,NA,54.31547619047619,1512
Rocha,burned,p1,2007,2017,10,4-10,C,US,Rocha,tundra,NA,46.37063492063492,1260
Rocha,burned,p1,2007,2018,11,11-20,C,US,Rocha,tundra,NA,54.43361581920904,708
Rocha,burned,p1,2007,2019,12,11-20,C,US,Rocha,tundra,NA,58.38527851458886,1508
Rocha,burned,p1,2007,2020,13,11-20,C,US,Rocha,tundra,NA,61.67065868263473,334
Rocha,burned,p2,2001,2011,10,4-10,C,US,Rocha,tundra,NA,48.86666666666667,30
Rocha,burned,p3,1993,2012,19,11-20,C,US,Rocha,tundra,NA,42.375,80
Rocha,burned,p4,1977,2013,36,21-40,C,US,Rocha,tundra,NA,42.3,80
Rocha,burned,p5,1900,2014,114,>40,C,US,Rocha,tundra,NA,41.24583333333333,240
Rocha,burned,p6,2007,2014,7,4-10,C,US,Rocha,tundra,NA,49.56428571428572,700
Rocha,burned,p6,2007,2019,12,11-20,C,US,Rocha,tundra,NA,64.63787878787879,660
Rocha,unburned,p1,2007,2008,u,unburned,C,US,Rocha,tundra,NA,41.8955223880597,335
Rocha,unburned,p1,2007,2009,u,unburned,C,US,Rocha,tundra,NA,42.296370967741936,496
Rocha,unburned,p1,2007,2010,u,unburned,C,US,Rocha,tundra,NA,49.18859649122807,228
Rocha,unburned,p1,2007,2011,u,unburned,C,US,Rocha,tundra,NA,40.10087719298246,456
Rocha,unburned,p1,2007,2012,u,unburned,C,US,Rocha,tundra,NA,42.07936507936508,504
Rocha,unburned,p1,2007,2013,u,unburned,C,US,Rocha,tundra,NA,44.02163461538461,416
Rocha,unburned,p1,2007,2014,u,unburned,C,US,Rocha,tundra,NA,37.79761904761905,840
Rocha,unburned,p1,2007,2015,u,unburned,C,US,Rocha,tundra,NA,48.976190476190474,504
Rocha,unburned,p1,2007,2016,u,unburned,C,US,Rocha,tundra,NA,46.611111111111114,756
Rocha,unburned,p1,2007,2017,u,unburned,C,US,Rocha,tundra,NA,37.69047619047619,672
Rocha,unburned,p1,2007,2018,u,unburned,C,US,Rocha,tundra,NA,44.58757062146893,354
Rocha,unburned,p1,2007,2019,u,unburned,C,US,Rocha,tundra,NA,51.964285714285715,756
Rocha,unburned,p1,2007,2020,u,unburned,C,US,Rocha,tundra,NA,57.654761904761905,168
Rocha,unburned,p2,2001,2011,u,unburned,C,US,Rocha,tundra,NA,41.2,30
Rocha,unburned,p3,1993,2012,u,unburned,C,US,Rocha,tundra,NA,42.9375,80
Rocha,unburned,p4,1977,2013,u,unburned,C,US,Rocha,tundra,NA,55.7375,80
Rocha,unburned,p5,1900,2014,u,unburned,C,US,Rocha,tundra,NA,42.4,120
Rocha,unburned,p6,2007,2014,u,unburned,C,US,Rocha,tundra,NA,46.454166666666666,240
Rocha,unburned,p6,2007,2019,u,unburned,C,US,Rocha,tundra,NA,58.016666666666666,240
Sizov,burned,q1,2016,2020,4,4-10,D,RU,"Sizov, Soromotin, Brodt",tundra,NA,226,1
Sizov,unburned,q1,-9999,2020,u,unburned,C,RU,"Sizov, Soromotin, Brodt",tundra,NA,131,1
Sizov,unburned,q1,-9999,2020,u,unburned,D,RU,"Sizov, Soromotin, Brodt",tundra,NA,249,1
